Binomial,Range,MaturePop,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel,Range_km^2,pop_density
Tremarctos ornatus,218255000000,5000,Tremarctos,Ursidae,Carnivora,123177,3650,VU,Herbivore,218255,0.022908982612082
Urocyon littoralis,911163482.4,4000,Urocyon,Canidae,Carnivora,1923,1171.6557,NT,Omnivore,911.1634824,4.38999156272596
Uromys hadrourus,635188032,20000,Uromys,Muridae,Rodentia,149.11,639.6318318,NT,Omnivore,635.188032,31.4867393471293
Ursus americanus,10469200000000,602068.7,Ursus,Ursidae,Carnivora,110500,4734.076867,LC,Omnivore,10469200,0.057508567989913
Ursus arctos,24948800000000,110000,Ursus,Ursidae,Carnivora,196287.5,5976.266667,LC,Omnivore,24948800,0.004409029692811
Ursus maritimus,22605600000000,17420,Ursus,Ursidae,Carnivora,371703.8,5475,VU,Omnivore,22605600,0.000770605513678
Vicugna vicugna,743523000000,350000,Vicugna,Camelidae,Cetartiodactyla,47499.61,3674.846867,LC,Herbivore,743523,0.470731907419138
Vulpes pallida,4152380000000,31622.61849,Vulpes,Canidae,Carnivora,2800.01,1529.35,LC,Omnivore,4152380,0.00761554060322
Wyulda squamicaudata,82875635321,7071.067812,Wyulda,Phalangeridae,Diprotodontia,1799.21,2000.363913,NT,Omnivore,82875.635321,0.085321431137292
Xeromys myoides,12793233219,15811.3883,Xeromys,Muridae,Rodentia,45.2,624.3996409,VU,Omnivore,12793.233219,1.23591808492302
Zyzomys maini,21158545311,20000,Zyzomys,Muridae,Rodentia,93.99,624.3996409,VU,Herbivore,21158.545311,0.945244566960013
Zyzomys palatalis,2582429603,1000,Zyzomys,Muridae,Rodentia,123,639.6318318,CR,NotAssigned,2582.429603,0.387232240072799
Zyzomys pedunculatus,7110095771,800,Zyzomys,Muridae,Rodentia,100,639.6318318,CR,Herbivore,7110.095771,0.112516065291689
