Binomial,Range,MaturePop,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel,Range_km^2,pop_density
Equus kiang,1785560000000,64807.40698,Equus,Equidae,Perissodactyla,281138.6,3704.385,LC,Herbivore,1785560,0.036295283821322
Equus quagga,2314210000000,193649.1673,Equus,Equidae,Perissodactyla,400000,3659.125,NT,Herbivore,2314210,0.083678303740801
Eudorcas albonotata,128522000000,186260,Eudorcas,Bovidae,Cetartiodactyla,25000,1816.76125,LC,Herbivore,128522,1.44924604347894
Eudorcas rufifrons,2197970000000,8040,Eudorcas,Bovidae,Cetartiodactyla,26999.77,1825,VU,Herbivore,2197970,0.003657920717753
Eudorcas thomsonii,157282000000,368500,Eudorcas,Bovidae,Cetartiodactyla,22907.43,2190,NT,Herbivore,157282,2.34292544601417
Eulemur cinereiceps,1817018814,4867.55,Eulemur,Lemuridae,Primates,2250,3206.295944,CR,Herbivore,1817.018814,2.67886604282569
Eumops floridanus,999178865,3872.983346,Eumops,Molossidae,Chiroptera,38.47,1427.913317,VU,Insectivore,999.178865,3.87616620173406
Eupetaurus cinereus,32782559368,1160.474041,Eupetaurus,Sciuridae,Rodentia,2500,2015.755102,EN,Herbivore,32782.559368,0.035399128785923
Felis margarita,1897610000000,27264,Felis,Felidae,Carnivora,2823.36,1730.465,LC,Carnivore,1897610,0.014367546545391
Felis nigripes,1948150000000,9707,Felis,Felidae,Carnivora,1362.77,1685.3793,VU,Carnivore,1948150,0.004982675871981
Galidictis grandidieri,995714670.7,158.542887,Galidictis,Eupleridae,Carnivora,1400,1754.1,EN,Carnivore,995.7146707,0.159225219498415
Gazella arabica,217985000000,5916.079783,Gazella,Bovidae,Cetartiodactyla,24124.67,2137.174017,VU,Herbivore,217985,0.027139848076703
Gazella bennettii,2764530000000,59160.79783,Gazella,Bovidae,Cetartiodactyla,18916.67,2141.73375,LC,Herbivore,2764530,0.021399947850087
Gazella gazella,14514166906,2500,Gazella,Bovidae,Cetartiodactyla,21306.83,2190,EN,Herbivore,14514.166906,0.172245504422753
Gazella leptoceros,604286000000,424.2640687,Gazella,Bovidae,Cetartiodactyla,24645.75,1729.8227,EN,Herbivore,604286,0.000702091507498
Gazella subgutturosa,7107800000000,45365.18489,Gazella,Bovidae,Cetartiodactyla,26981.37,2496.146667,VU,Herbivore,7107800,0.006382450953882
Genetta bourloni,146865000000,9850,Genetta,Viverridae,Carnivora,1865.378167,2555,VU,Carnivore,146865,0.067068396146121
Genetta cristata,100907000000,7000,Genetta,Viverridae,Carnivora,1863.23,2555,VU,Carnivore,100907,0.069370806782483
Genetta piscivora,223601000000,10000,Genetta,Viverridae,Carnivora,1648.05,2423.6,NT,Insectivore,223601,0.044722519130058
Geocapromys ingrahami,8322722.96,8710,Geocapromys,Capromyidae,Rodentia,733.52,1153.4,VU,Herbivore,8.32272296,1046.53249205354
Giraffa camelopardalis,1821650000000,68293,Giraffa,Giraffidae,Cetartiodactyla,964654.7,5251.011667,VU,Herbivore,1821650,0.037489638514534
Gorilla beringei,47439345948,2600,Gorilla,Hominidae,Primates,149325.2,7300,CR,Herbivore,47439.345948,0.054806826444234
Gorilla gorilla,696517000000,214400,Gorilla,Hominidae,Primates,112589,8030,CR,Herbivore,696517,0.307817325348843
Gymnobelideus leadbeateri,3023861457,2500,Gymnobelideus,Petauridae,Diprotodontia,137.32,1587.5675,CR,Omnivore,3023.861457,0.826757454185838
Hapalemur alaotrensis,216327761.7,1675,Hapalemur,Lemuridae,Primates,1616.83,3285,CR,Herbivore,216.3277617,7.74288046451876
Hippocamelus antisensis,424713000000,4891.983238,Hippocamelus,Cervidae,Cetartiodactyla,68599.35,1459.26,VU,Herbivore,424713,0.011518327053799
Hippocamelus bisulcus,127327000000,1253.794241,Hippocamelus,Cervidae,Cetartiodactyla,69240.81,2617.55,EN,Herbivore,127327,0.009847041405201
Hippopotamus amphibius,1233080000000,81921.02905,Hippopotamus,Hippopotamidae,Cetartiodactyla,1536310,3650,VU,Herbivore,1233080,0.066436102321017
Hipposideros halophyllus,23215652569,4999.749994,Hipposideros,Hipposideridae,Chiroptera,4,1834.2256,VU,Insectivore,23215.652569,0.215361165452493
Hipposideros hypophyllus,6665217938,173.2050808,Hipposideros,Hipposideridae,Chiroptera,21.81,1834.2256,CR,Insectivore,6665.217938,0.025986409208395
Hipposideros inornatus,6625210176,547.4486277,Hipposideros,Hipposideridae,Chiroptera,25.9,1834.2256,VU,Insectivore,6625.210176,0.082631133678317
Hippotragus equinus,5571100000000,54772.25575,Hippotragus,Bovidae,Cetartiodactyla,264174,3070.224367,LC,Herbivore,5571100,0.009831497504981
Hippotragus niger,3013920000000,54772.25575,Hippotragus,Bovidae,Cetartiodactyla,236405.9,3053.3552,LC,Herbivore,3013920,0.018173095420582
Hoolock leuconedys,281215000000,15216.57472,Hoolock,Hylobatidae,Primates,6709.768933,5418.846154,VU,Omnivore,281215,0.05411011048486
Hyaena hyaena,23460500000000,7070.71425,Hyaena,Hyaenidae,Carnivora,35070.51,3351.042633,NT,Omnivore,23460500,0.000301388045864
Hyemoschus aquaticus,2448580000000,186260,Hyemoschus,Tragulidae,Cetartiodactyla,10850,1930.0898,LC,Herbivore,2448580,0.076068578523062
Hylobates klossii,6004480274,22360.67977,Hylobates,Hylobatidae,Primates,5822.29,5475,EN,Omnivore,6004.480274,3.72399920553057
Hylobates moloch,39231970780,4472.135955,Hylobates,Hylobatidae,Primates,5860.81,5370.714286,EN,Herbivore,39231.97078,0.113992131062655
Hylobates pileatus,121613000000,47000,Hylobates,Hylobatidae,Primates,5542.37,5475,EN,Omnivore,121613,0.38647184100384
Hypogeomys antimena,333319306.4,36000,Hypogeomys,Nesomyidae,Rodentia,1175.93,2006.8029,EN,Omnivore,333.3193064,108.004544917654
Indri indri,30053451170,2118.726032,Indri,Indriidae,Primates,8565.48,4015,CR,Herbivore,30053.45117,0.07049859332345
Isoodon auratus,20997770224,30000,Isoodon,Peramelidae,Peramelemorphia,425,683.31225,VU,Insectivore,20997.770224,1.42872313012125
Isoodon obesulus,203133000000,31622.7766,Isoodon,Peramelidae,Peramelemorphia,824.76,683.31225,LC,Insectivore,203133,0.155675230513998
Kobus ellipsiprymnus,8949700000000,134000,Kobus,Bovidae,Cetartiodactyla,204393.5,3821.3904,LC,Herbivore,8949700,0.014972568912925
Kobus kob,2985580000000,707106.7812,Kobus,Bovidae,Cetartiodactyla,80035.21,2600.267433,LC,Herbivore,2985580,0.236840674575794
Kobus leche,188733000000,106362.5,Kobus,Bovidae,Cetartiodactyla,88645.04,2660.837833,NT,Herbivore,188733,0.563560691558975
Kobus vardonii,338175000000,87100,Kobus,Bovidae,Cetartiodactyla,71462.72,2555,NT,Herbivore,338175,0.257558956161751
Lagorchestes hirsutus,89120006.05,4000,Lagorchestes,Macropodidae,Diprotodontia,1407.14,1100.21785,VU,Herbivore,89.12000605,44.8833003641835
Lagostrophus fasciatus,89119995.96,4242.640687,Lagostrophus,Macropodidae,Diprotodontia,1933.48,2311.607416,VU,Herbivore,89.11999596,47.6059344628364
Lama guanicoe,1658710000000,1224744.871,Lama,Camelidae,Cetartiodactyla,120000,4064.145,LC,Herbivore,1658710,0.738371910098812
Lasiorhinus krefftii,91214678,80,Lasiorhinus,Vombatidae,Diprotodontia,31849.99,3354.315,CR,Herbivore,91.214678,0.877051827119315
Lasiorhinus latifrons,68207885965,180000,Lasiorhinus,Vombatidae,Diprotodontia,26163.8,3354.315,NT,Herbivore,68207.885965,2.63899104118789
Leontopithecus caissara,334964064.2,200,Leontopithecus,Callitrichidae,Primates,604.01,3078.3735,CR,Omnivore,334.9640642,0.59707897465856
Leontopithecus chrysomelas,20189922609,6356.178097,Leontopithecus,Callitrichidae,Primates,572.8,2555,EN,Omnivore,20189.922609,0.314819339335487
Leontopithecus chrysopygus,63670785054,1000,Leontopithecus,Callitrichidae,Primates,656.12,3078.3735,EN,Omnivore,63670.785054,0.015705790326786
Leontopithecus rosalia,3990551968,1000,Leontopithecus,Callitrichidae,Primates,592.52,3601.747,EN,Omnivore,3990.551968,0.250591900072707
Leopardus guigna,317792000000,23467.21458,Leopardus,Felidae,Carnivora,2200,2190,VU,Carnivore,317792,0.073844573117007
Leopardus jacobita,612428000000,1378,Leopardus,Felidae,Carnivora,8133.78,1392.97,EN,Carnivore,612428,0.002250060415265
Leopardus tigrinus,9389950000000,9548.709651,Leopardus,Felidae,Carnivora,2250,2190,VU,Carnivore,9389950,0.001016907401104
Lepilemur jamesorum,64437330.22,928.62,Lepilemur,Lepilemuridae,Primates,726.98875,1637.770967,CR,Herbivore,64.43733022,14.4112115885238
Lepilemur septentrionalis,141553444.7,7.071067812,Lepilemur,Lepilemuridae,Primates,755.77,1637.770967,CR,Herbivore,141.5534447,0.049953343254811
Leporillus conditor,4713391.849,3464.101615,Leporillus,Muridae,Rodentia,328.82,786.86995,NT,Herbivore,4.713391849,734.948785498271
Liberiictis kuhni,74349715349,5200,Liberiictis,Herpestidae,Carnivora,1825.47,1825,VU,Insectivore,74349.715349,0.069939743220146
Litocranius walleri,1418360000000,63650,Litocranius,Bovidae,Cetartiodactyla,38804.37,2555,NT,Herbivore,1418360,0.044875772018388
Lonchophylla dekeyseri,28619179111,600,Lonchophylla,Phyllostomidae,Chiroptera,14.12333333,2064.27635,EN,Omnivore,28619.179111,0.020964961911482
Lonchorhina fernandezi,105608000000,150,Lonchorhina,Phyllostomidae,Chiroptera,14.03,2064.27635,EN,Insectivore,105608,0.001420346943413
Loxodonta africana,2110670000000,362927.945,Loxodonta,Elephantidae,Proboscidea,3824540,9125,VU,Herbivore,2110670,0.171949165430882
Lycaon pictus,1272640000000,1409,Lycaon,Canidae,Carnivora,21999.99,2034.717,EN,Carnivore,1272640,0.001107147347247
Lynx pardinus,1191691674,156,Lynx,Felidae,Carnivora,11050,1578.34,EN,Carnivore,1191.691674,0.13090634381658
Macaca cyclopis,24554558988,6700,Macaca,Cercopithecidae,Primates,5748.94,4572.989586,LC,Omnivore,24554.558988,0.272861752608725
Macaca maura,4790632010,2500,Macaca,Cercopithecidae,Primates,7290.3,4015,EN,Omnivore,4790.63201,0.521851813034581
Macaca pagensis,2140852623,1867.606222,Macaca,Cercopithecidae,Primates,4534.66,4745,CR,Herbivore,2140.852623,0.872365618228733
Macaca siberu,3863627650,15130.73032,Macaca,Cercopithecidae,Primates,7500,4745,VU,Herbivore,3863.62765,3.91619785617799
Macaca sylvanus,41517443291,10050,Macaca,Cercopithecidae,Primates,11471.53,2920,EN,Herbivore,41517.443291,0.242066929063009
Macroderma gigas,1078950000000,7937.253933,Macroderma,Megadermatidae,Chiroptera,124.37,1985.8012,VU,Carnivore,1078950,0.007356461312387
Macrogalidia musschenbroekii,34097051976,9000,Macrogalidia,Viverridae,Carnivora,5148.86,1825,VU,Omnivore,34097.051976,0.263952438068102
Macropus eugenii,14879405466,22360.67977,Macropus,Macropodidae,Diprotodontia,5278.48,1766.8702,LC,Herbivore,14879.405466,1.50279390000461
Macropus giganteus,2231130000000,9475.230868,Macropus,Macropodidae,Diprotodontia,33409.89,3170.271,LC,Herbivore,2231130,0.004246830470658
Macropus irma,152879000000,22360.67977,Macropus,Macropodidae,Diprotodontia,8000,1703.78485,LC,Herbivore,152879,0.146263906553549
Macrotis lagotis,1077480000000,9000,Macrotis,Thylacomyidae,Peramelemorphia,1229.58,1183.8648,VU,Herbivore,1077480,0.00835282325426
Madoqua guentheri,1270990000000,342370,Madoqua,Bovidae,Cetartiodactyla,4623.7,1931.482667,LC,Herbivore,1270990,0.269372693726937
