Binomial,Range,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel
Abditomys latidens,788227268.165346,Abditomys,Muridae,Rodentia,268.09,639.6318318,DD,Herbivore
Abeomelomys sevia,9683637064.08965,Abeomelomys,Muridae,Rodentia,54.88,624.3996409,LC,Omnivore
Abrawayaomys ruschii,50734679053.4657,Abrawayaomys,Cricetidae,Rodentia,62.99,589.3882991,LC,Omnivore
Abrocoma bennettii,124896017428.642,Abrocoma,Abrocomidae,Rodentia,250.5,1032.923574,LC,Herbivore
Abrocoma boliviensis,64739212.0057018,Abrocoma,Abrocomidae,Rodentia,158,1032.923574,CR,Herbivore
Abrocoma budini,405507488.549637,Abrocoma,Abrocomidae,Rodentia,116.305,1032.923574,DD,Herbivore
Abrocoma cinerea,529152754277.995,Abrocoma,Abrocomidae,Rodentia,193.64,1032.923574,LC,Herbivore
Abrocoma famatina,3306519578.24229,Abrocoma,Abrocomidae,Rodentia,89.495,717.7762436,DD,Herbivore
Abrocoma shistacea,5496616435.47178,Abrocoma,Abrocomidae,Rodentia,109.39,1032.923574,LC,Herbivore
Abrocoma uspallata,14317813.1219349,Abrocoma,Abrocomidae,Rodentia,164.2793,1032.923574,DD,Herbivore
Abrocoma vaccarum,37175702.2090819,Abrocoma,Abrocomidae,Rodentia,232.625,1032.923574,DD,Herbivore
Abrothrix andinus,612688887487.066,Abrothrix,Cricetidae,Rodentia,24.91,589.3882991,LC,Omnivore
Abrothrix jelskii,498022438234.006,Abrothrix,Cricetidae,Rodentia,34.5,589.3882991,LC,Omnivore
Abrothrix lanosus,40587893976.4837,Abrothrix,Cricetidae,Rodentia,27.83,589.3882991,LC,Omnivore
Abrothrix longipilis,717949898648.216,Abrothrix,Cricetidae,Rodentia,38.86,589.3882991,LC,Omnivore
Abrothrix olivaceus,1083345055783.33,Abrothrix,Cricetidae,Rodentia,24.52,589.3882991,LC,Omnivore
Abrothrix sanborni,4530172089.96264,Abrothrix,Cricetidae,Rodentia,24.7,589.3882991,NT,Omnivore
Acerodon celebensis,177574280717.629,Acerodon,Pteropodidae,Chiroptera,384.84,1642.5,VU,Herbivore
Acerodon humilis,929157181.780631,Acerodon,Pteropodidae,Chiroptera,646.6033333,1642.5,EN,Herbivore
Acerodon leucotis,12751180658.3774,Acerodon,Pteropodidae,Chiroptera,646.6033333,1460,VU,Herbivore
Acerodon mackloti,74622810661.4123,Acerodon,Pteropodidae,Chiroptera,467.93,1825,VU,Herbivore
Acomys airensis,1825638342436.21,Acomys,Muridae,Rodentia,38.657,650.0125,LC,Insectivore
Acomys cahirinus,4017285726837.86,Acomys,Muridae,Rodentia,41.16,650.0125,LC,Omnivore
Acomys cilicicus,17625137.015363,Acomys,Muridae,Rodentia,48,650.0125,DD,Omnivore
Acomys cineraceus,1049545703683.92,Acomys,Muridae,Rodentia,19.24,650.0125,LC,Insectivore
Acomys dimidiatus,1558726498080.71,Acomys,Muridae,Rodentia,50,650.0125,LC,Omnivore
Acomys ignitus,105257336315.252,Acomys,Muridae,Rodentia,24,650.0125,LC,Insectivore
Acomys johannis,426085265225.807,Acomys,Muridae,Rodentia,63.85388804,650.0125,LC,Insectivore
Acomys kempi,569643251882.304,Acomys,Muridae,Rodentia,21.99,650.0125,LC,Insectivore
Acomys louisae,688440046244.099,Acomys,Muridae,Rodentia,20.19,650.0125,LC,Insectivore
Acomys minous,8344718601.38499,Acomys,Muridae,Rodentia,62.5,650.0125,DD,Herbivore
Acomys mullah,160420649751.978,Acomys,Muridae,Rodentia,63.85388804,650.0125,LC,Insectivore
Acomys percivali,222958227225.518,Acomys,Muridae,Rodentia,21.99,650.0125,LC,Insectivore
Acomys russatus,702023859226.838,Acomys,Muridae,Rodentia,42.35,650.0125,LC,Insectivore
Acomys seurati,298887042163.151,Acomys,Muridae,Rodentia,38.657,650.0125,LC,Insectivore
Acomys spinosissimus,1715735103219.23,Acomys,Muridae,Rodentia,26.5,650.0125,LC,Insectivore
Acomys subspinosus,94357461496.5139,Acomys,Muridae,Rodentia,21.92,650.0125,LC,Omnivore
Acomys wilsoni,1372812729820.59,Acomys,Muridae,Rodentia,18.5,650.0125,LC,Insectivore
Aconaemys fuscus,31935754233.844,Aconaemys,Octodontidae,Rodentia,129.95,1310.04695,LC,Herbivore
Aconaemys porteri,22675333164.2997,Aconaemys,Octodontidae,Rodentia,113.22,1310.04695,DD,Herbivore
Aconaemys sagei,40513557438.3435,Aconaemys,Octodontidae,Rodentia,96.49,1310.04695,DD,Herbivore
Acrobates pygmaeus,1200801293151.93,Acrobates,Acrobatidae,Diprotodontia,13.84,997.9661,LC,Omnivore
Aegialomys galapagoensis,23180551.0992547,Aegialomys,Cricetidae,Rodentia,64.5,589.3882991,VU,Omnivore
Aegialomys xanthaeolus,258878321093.441,Aegialomys,Cricetidae,Rodentia,79.79,589.3882991,LC,Omnivore
Aepeomys lugens,9497265181.71979,Aepeomys,Cricetidae,Rodentia,37,589.3882991,LC,Omnivore
Aepeomys reigi,13016499041.7747,Aepeomys,Cricetidae,Rodentia,37,589.3882991,VU,Omnivore
Aepyprymnus rufescens,566664642591.369,Aepyprymnus,Potoroidae,Diprotodontia,2810.31,1327.5927,LC,Herbivore
Aeretes melanopterus,56180819755.0423,Aeretes,Sciuridae,Rodentia,246.4344257,1384.121263,NT,Herbivore
Aeromys tephromelas,362180499277.985,Aeromys,Sciuridae,Rodentia,1187,2015.755102,DD,Omnivore
Aeromys thomasi,446207386884.844,Aeromys,Sciuridae,Rodentia,1430.19,2015.755102,LC,Herbivore
Aethalops aequalis,93008852218.1021,Aethalops,Pteropodidae,Chiroptera,15,1553.790873,LC,Herbivore
Aethalops alecto,158099135529.788,Aethalops,Pteropodidae,Chiroptera,15,1553.790873,LC,Herbivore
Aethomys bocagei,253323286727.661,Aethomys,Muridae,Rodentia,63.85388804,624.3996409,LC,Herbivore
Aethomys chrysophilus,4154330279173.41,Aethomys,Muridae,Rodentia,80.85,624.3996409,LC,Herbivore
Aethomys hindei,2482352208008.69,Aethomys,Muridae,Rodentia,140.65,639.6318318,LC,Omnivore
Aethomys ineptus,592259543604.944,Aethomys,Muridae,Rodentia,133.16,639.6318318,LC,Herbivore
Aethomys kaiseri,1693329175361.74,Aethomys,Muridae,Rodentia,89.99,624.3996409,LC,Herbivore
Aethomys nyikae,897965405915.624,Aethomys,Muridae,Rodentia,77.015,624.3996409,LC,Herbivore
Aethomys silindensis,19129117944.7362,Aethomys,Muridae,Rodentia,83.48586401,624.3996409,DD,Herbivore
Aethomys stannarius,170085391271.419,Aethomys,Muridae,Rodentia,83.48586401,624.3996409,DD,Herbivore
Aethomys thomasi,270711031656.793,Aethomys,Muridae,Rodentia,63.85388804,624.3996409,LC,Herbivore
Ailurops melanotis,274513647.625347,Ailurops,Phalangeridae,Diprotodontia,8500,2000.363913,CR,Herbivore
Ailurops ursinus,179858765036.463,Ailurops,Phalangeridae,Diprotodontia,10000,2000.363913,VU,Herbivore
Ailurus fulgens,338831022025.344,Ailurus,Ailuridae,Carnivora,5170.08,3650,EN,Herbivore
Akodon aerosus,114165459188.906,Akodon,Cricetidae,Rodentia,59.99,589.3882991,LC,Omnivore
Akodon affinis,42197044009.2043,Akodon,Cricetidae,Rodentia,24.89,589.3882991,LC,Omnivore
Akodon albiventer,402049085753.842,Akodon,Cricetidae,Rodentia,25.95,589.3882991,LC,Insectivore
Akodon azarae,1227616003741.34,Akodon,Cricetidae,Rodentia,25.27,589.3882991,LC,Omnivore
Akodon boliviensis,217532524122.884,Akodon,Cricetidae,Rodentia,27.5,589.3882991,LC,Omnivore
Akodon budini,19876490779.1889,Akodon,Cricetidae,Rodentia,26.9,589.3882991,LC,Omnivore
Akodon cursor,824145087433.86,Akodon,Cricetidae,Rodentia,39.84,589.3882991,LC,Omnivore
Akodon dayi,289331634415.262,Akodon,Cricetidae,Rodentia,32.49,589.3882991,LC,Omnivore
Akodon dolores,809586618166.668,Akodon,Cricetidae,Rodentia,50.49,589.3882991,LC,Omnivore
Akodon fumeus,151082142480.622,Akodon,Cricetidae,Rodentia,22.69,589.3882991,LC,Omnivore
Akodon iniscatus,573428042370.265,Akodon,Cricetidae,Rodentia,28.7,589.3882991,LC,Omnivore
Akodon juninensis,115454096357.999,Akodon,Cricetidae,Rodentia,38.99,589.3882991,LC,Omnivore
Akodon kofordi,13610994092.0856,Akodon,Cricetidae,Rodentia,29.49,589.3882991,LC,Omnivore
Akodon lindberghi,6823733578.59071,Akodon,Cricetidae,Rodentia,26.4,589.3882991,DD,Omnivore
Akodon lutescens,118603690135.153,Akodon,Cricetidae,Rodentia,20.69,589.3882991,LC,Omnivore
Akodon mimus,57439277643.9501,Akodon,Cricetidae,Rodentia,23.99,589.3882991,LC,Omnivore
Akodon molinae,429193487575.575,Akodon,Cricetidae,Rodentia,32.99,589.3882991,LC,Omnivore
Akodon mollis,265351806490.431,Akodon,Cricetidae,Rodentia,30.39,589.3882991,LC,Omnivore
Akodon montensis,1050409371212.1,Akodon,Cricetidae,Rodentia,34.65,589.3882991,LC,Omnivore
Akodon mystax,470564415.275806,Akodon,Cricetidae,Rodentia,32.51675676,589.3882991,DD,Omnivore
Akodon orophilus,33882521333.9711,Akodon,Cricetidae,Rodentia,38.99,589.3882991,LC,Omnivore
Akodon paranaensis,482668960977.056,Akodon,Cricetidae,Rodentia,32.51675676,589.3882991,LC,Omnivore
Akodon pervalens,29095851896.1263,Akodon,Cricetidae,Rodentia,32.51675676,589.3882991,DD,Omnivore
Akodon philipmyersi,2113645185.34118,Akodon,Cricetidae,Rodentia,23,589.3882991,DD,Omnivore
Akodon reigi,65868071331.8508,Akodon,Cricetidae,Rodentia,32.51675676,589.3882991,LC,Omnivore
Akodon sanctipaulensis,758196660.021224,Akodon,Cricetidae,Rodentia,27.1,589.3882991,DD,Omnivore
Akodon serrensis,275871625048.412,Akodon,Cricetidae,Rodentia,28.3,589.3882991,LC,Omnivore
Akodon siberiae,25253903988.8276,Akodon,Cricetidae,Rodentia,34.6,589.3882991,NT,Omnivore
Akodon simulator,156808587440.728,Akodon,Cricetidae,Rodentia,42.5,589.3882991,LC,Omnivore
Akodon spegazzinii,56727714255.5455,Akodon,Cricetidae,Rodentia,28.6,589.3882991,LC,Omnivore
Akodon subfuscus,171092782757.145,Akodon,Cricetidae,Rodentia,30.39,589.3882991,LC,Omnivore
Akodon surdus,16434639082.5699,Akodon,Cricetidae,Rodentia,38.99,589.3882991,VU,Omnivore
Akodon sylvanus,39317422568.3455,Akodon,Cricetidae,Rodentia,38.99,589.3882991,LC,Omnivore
Akodon toba,443710583711.491,Akodon,Cricetidae,Rodentia,51.2,589.3882991,LC,Omnivore
Akodon torques,66658262867.0339,Akodon,Cricetidae,Rodentia,38.99,589.3882991,LC,Omnivore
Akodon varius,244639989062.437,Akodon,Cricetidae,Rodentia,40,589.3882991,DD,Omnivore
Alionycteris paucidentata,5062760988.02025,Alionycteris,Pteropodidae,Chiroptera,16.24,1553.790873,LC,Herbivore
Allactaga balikunica,234833463551.849,Allactaga,Dipodidae,Rodentia,72.5,625.1262,LC,Omnivore
Allactaga bullata,1563030110070.81,Allactaga,Dipodidae,Rodentia,72.5,625.1262,LC,Omnivore
Allactaga elater,3246019055762.4,Allactaga,Dipodidae,Rodentia,59,625.1262,LC,Omnivore
Allactaga euphratica,734308906934.771,Allactaga,Dipodidae,Rodentia,232,625.1262,NT,Herbivore
Allactaga firouzi,1316186051.83535,Allactaga,Dipodidae,Rodentia,114.1964539,625.1262,DD,Herbivore
Allactaga hotsoni,497396337510.591,Allactaga,Dipodidae,Rodentia,76.5,625.1262,LC,Herbivore
Allactaga major,4297349435173.47,Allactaga,Dipodidae,Rodentia,350,625.1262,LC,Herbivore
Allactaga severtzovi,706422241483.411,Allactaga,Dipodidae,Rodentia,159,625.1262,LC,Herbivore
Allactaga sibirica,5412810787054.57,Allactaga,Dipodidae,Rodentia,97.5,625.1262,LC,Insectivore
Allactaga tetradactyla,103462202171.899,Allactaga,Dipodidae,Rodentia,52,625.1262,DD,Herbivore
Allactaga vinogradovi,53732796172.8194,Allactaga,Dipodidae,Rodentia,61.83099239,625.1262,NT,Herbivore
Allactaga williamsi,705702773489.414,Allactaga,Dipodidae,Rodentia,23.33,625.1262,LC,Herbivore
Allactodipus bobrinskii,275856828623.153,Allactodipus,Dipodidae,Rodentia,65,726.1971375,LC,Omnivore
Allenopithecus nigroviridis,506344525467.479,Allenopithecus,Cercopithecidae,Primates,4749.96,4024.409658,LC,Herbivore
Allocebus trichotis,42841156889.5867,Allocebus,Cheirogaleidae,Primates,78.09,2053.5145,VU,Omnivore
Allocricetulus curtatus,1332299974381.92,Allocricetulus,Cricetidae,Rodentia,47.833,589.3882991,LC,Herbivore
Allocricetulus eversmanni,1776747236458.83,Allocricetulus,Cricetidae,Rodentia,115.558,766.22453,LC,Omnivore
Alouatta arctoidea,406536222020.425,Alouatta,Atelidae,Primates,6361.288889,3888.341186,LC,Herbivore
Alouatta belzebul,866703125217.917,Alouatta,Atelidae,Primates,6157.91,4380,VU,Herbivore
Alouatta caraya,3064210801580.09,Alouatta,Atelidae,Primates,5576.96,3750.594,LC,Herbivore
Alouatta discolor,375740768399.918,Alouatta,Atelidae,Primates,6361.288889,4015,VU,Herbivore
Alouatta macconnelli,1763215525908.69,Alouatta,Atelidae,Primates,7250,3888.341186,LC,Herbivore
Alouatta nigerrima,236116252263.432,Alouatta,Atelidae,Primates,6320,3888.341186,LC,Herbivore
Alouatta palliata,567394543485.214,Alouatta,Atelidae,Primates,6576.99,3574.6373,LC,Herbivore
Alouatta pigra,239988907291.63,Alouatta,Atelidae,Primates,7172.06,3650,EN,Herbivore
Alouatta sara,341402344224.534,Alouatta,Atelidae,Primates,6611.04,3888.341186,LC,Herbivore
Alouatta ululata,99542395357.6148,Alouatta,Atelidae,Primates,6361.288889,4015,EN,Herbivore
Alticola albicaudus,80158525103.8799,Alticola,Cricetidae,Rodentia,42.21130602,589.3882991,DD,Herbivore
Alticola argentatus,1380081447126.09,Alticola,Cricetidae,Rodentia,37.69,589.3882991,LC,Herbivore
Alticola barakshin,225997245827.148,Alticola,Cricetidae,Rodentia,46.25861204,589.3882991,LC,Herbivore
Alticola lemminus,2068206895588.52,Alticola,Cricetidae,Rodentia,46.25861204,589.3882991,LC,Herbivore
Alticola macrotis,379222823785.506,Alticola,Cricetidae,Rodentia,36,589.3882991,LC,Herbivore
Alticola montosa,19533933332.5779,Alticola,Cricetidae,Rodentia,46.25861204,589.3882991,VU,Herbivore
Alticola olchonensis,1348367963.58064,Alticola,Cricetidae,Rodentia,42.21130602,589.3882991,EN,Herbivore
Alticola roylei,38435413516.5327,Alticola,Cricetidae,Rodentia,37,589.3882991,NT,Herbivore
Alticola semicanus,671213841189.326,Alticola,Cricetidae,Rodentia,46.25861204,589.3882991,LC,Herbivore
Alticola stoliczkanus,2306364090188.44,Alticola,Cricetidae,Rodentia,30.14,589.3882991,LC,Herbivore
Alticola strelzowi,441285332093.572,Alticola,Cricetidae,Rodentia,49.99,589.3882991,LC,Herbivore
Alticola tuvinicus,134541204425.013,Alticola,Cricetidae,Rodentia,46.25861204,589.3882991,LC,Herbivore
Amblysomus corriae,50632840441.4526,Amblysomus,Chrysochloridae,Afrosoricida,44.845,1036.557583,NT,Insectivore
Amblysomus hottentotus,212483168641.849,Amblysomus,Chrysochloridae,Afrosoricida,62.6,1036.557583,LC,Insectivore
Amblysomus marleyi,1402682745.57014,Amblysomus,Chrysochloridae,Afrosoricida,36.245,1036.557583,EN,Insectivore
Amblysomus robustus,1734947535.27874,Amblysomus,Chrysochloridae,Afrosoricida,79.5,1036.557583,VU,Insectivore
Amblysomus septentrionalis,32675852506.5712,Amblysomus,Chrysochloridae,Afrosoricida,25.35,1036.557583,NT,Insectivore
Ametrida centurio,5766469120322.01,Ametrida,Phyllostomidae,Chiroptera,10.61,2064.27635,LC,Herbivore
Ammodillus imbellis,210235628157.969,Ammodillus,Muridae,Rodentia,49.99,624.3996409,DD,Omnivore
Ammospermophilus harrisii,269488409870.571,Ammospermophilus,Sciuridae,Rodentia,126.57,1044.55125,LC,Omnivore
Ammospermophilus interpres,312449218476.289,Ammospermophilus,Sciuridae,Rodentia,112.53,1044.55125,LC,Omnivore
Ammospermophilus leucurus,990845740805.101,Ammospermophilus,Sciuridae,Rodentia,103.92,1205.3128,LC,Omnivore
Ammospermophilus nelsoni,16430670395.9385,Ammospermophilus,Sciuridae,Rodentia,160.42,883.7897,EN,Omnivore
Amorphochilus schnablii,178408336410.826,Amorphochilus,Furipteridae,Chiroptera,3.3,2070.531028,VU,Insectivore
Amphinectomys savamis,991214108.668511,Amphinectomys,Cricetidae,Rodentia,214,766.22453,DD,Omnivore
Anathana ellioti,1366073823972.78,Anathana,Tupaiidae,Scandentia,160,1458.084583,LC,Omnivore
Andalgalomys olrogi,57114934434.5899,Andalgalomys,Cricetidae,Rodentia,32.9,589.3882991,LC,Omnivore
Andalgalomys pearsoni,139008134140.938,Andalgalomys,Cricetidae,Rodentia,25.4,589.3882991,LC,Omnivore
Andinomys edax,228613140662.261,Andinomys,Cricetidae,Rodentia,69.75,589.3882991,LC,Herbivore
Anisomys imitator,181682747955.794,Anisomys,Muridae,Rodentia,510.5,639.6318318,LC,Herbivore
Anomalurus beecrofti,3245229510981,Anomalurus,Anomaluridae,Rodentia,479.07,1032.923574,LC,Omnivore
Anomalurus derbianus,5752726981076.22,Anomalurus,Anomaluridae,Rodentia,665.84,1032.923574,LC,Omnivore
Anomalurus pelii,242873006515.783,Anomalurus,Anomaluridae,Rodentia,1769.99,2113.949682,DD,Omnivore
Anomalurus pusillus,573139903460.054,Anomalurus,Anomaluridae,Rodentia,250,1032.923574,LC,Omnivore
Anonymomys mindorensis,594231180.533112,Anonymomys,Muridae,Rodentia,141.0605074,639.6318318,DD,Omnivore
Anotomys leander,12508222670.6263,Anotomys,Cricetidae,Rodentia,66.39,589.3882991,VU,Insectivore
Anoura caudifer,5940526443091.35,Anoura,Phyllostomidae,Chiroptera,10.81,2064.27635,LC,Omnivore
Anoura cultrata,757500042456.767,Anoura,Phyllostomidae,Chiroptera,17.39,2064.27635,LC,Herbivore
Anoura fistulata,21786699092.2789,Anoura,Phyllostomidae,Chiroptera,14.6025,2064.27635,DD,Herbivore
Anoura geoffroyi,8204430350129.12,Anoura,Phyllostomidae,Chiroptera,15.15,2064.27635,LC,Insectivore
Anoura latidens,710044889277.794,Anoura,Phyllostomidae,Chiroptera,15.06,2064.27635,LC,Omnivore
Anoura luismanueli,84559691689.4077,Anoura,Phyllostomidae,Chiroptera,14.6025,2064.27635,LC,Omnivore
Anourosorex assamensis,17604067253.7611,Anourosorex,Soricidae,Eulipotyphla,20,379.2929563,LC,Insectivore
Anourosorex schmidi,7900248234.82442,Anourosorex,Soricidae,Eulipotyphla,16.05244685,379.2929563,DD,Insectivore
Anourosorex squamipes,1189018753678.13,Anourosorex,Soricidae,Eulipotyphla,20,379.2929563,LC,Insectivore
Anourosorex yamashinai,34157023414.4944,Anourosorex,Soricidae,Eulipotyphla,8.157340556,426.9101194,LC,Insectivore
Antechinus adustus,4920270575.97129,Antechinus,Dasyuridae,Dasyuromorphia,30.5,626.1779714,LC,Insectivore
Antechinus agilis,163654965251.746,Antechinus,Dasyuridae,Dasyuromorphia,22.13,797.9786,LC,Carnivore
Antechinus flavipes,1008833389047.62,Antechinus,Dasyuridae,Dasyuromorphia,44.33,663.3818,LC,Carnivore
Antechinus godmani,3599521609.33145,Antechinus,Dasyuridae,Dasyuromorphia,75.74,626.1779714,NT,Carnivore
Antechinus leo,4393221028.79139,Antechinus,Dasyuridae,Dasyuromorphia,70.09,533.43285,LC,Insectivore
Antechinus minimus,76275708595.4267,Antechinus,Dasyuridae,Dasyuromorphia,52.56,505.49585,LC,Carnivore
Antechinus stuartii,118336847226.853,Antechinus,Dasyuridae,Dasyuromorphia,29.01,716.36965,LC,Carnivore
Antechinus subtropicus,9618051988.10944,Antechinus,Dasyuridae,Dasyuromorphia,46.86444444,626.1779714,LC,Insectivore
Antechinus swainsonii,314283026685.584,Antechinus,Dasyuridae,Dasyuromorphia,58.69,544.46525,LC,Carnivore
Anthops ornatus,21294851823.6545,Anthops,Hipposideridae,Chiroptera,19.66146341,1834.2256,DD,Insectivore
Antrozous pallidus,4367598171086.91,Antrozous,Vespertilionidae,Chiroptera,22.24,1524.0575,LC,Insectivore
Aonyx capensis,11817071133471.9,Aonyx,Mustelidae,Carnivora,19322.22,1622.093517,NT,Insectivore
Aonyx congicus,2924429886418.55,Aonyx,Mustelidae,Carnivora,23800.2,2354.85,NT,Insectivore
Aotus azarae,3162911566179.56,Aotus,Aotidae,Primates,929.57,3047.8376,LC,Omnivore
Aotus brumbacki,123964536996.318,Aotus,Aotidae,Primates,800,2920,VU,Omnivore
Aotus griseimembra,234087461463.686,Aotus,Aotidae,Primates,966,2920,VU,Omnivore
Aotus jorgehernandezi,1186239871.12173,Aotus,Aotidae,Primates,889.745,3047.8376,DD,Omnivore
Aotus lemurinus,177191578759.668,Aotus,Aotidae,Primates,865.96,2920,VU,Omnivore
Aotus miconax,59473292648.1231,Aotus,Aotidae,Primates,800,2920,VU,Omnivore
Aotus nancymaae,492727889875.963,Aotus,Aotidae,Primates,791.03,3047.8376,VU,Omnivore
Aotus nigriceps,1548698791750.9,Aotus,Aotidae,Primates,1057,3047.8376,LC,Omnivore
Aotus trivirgatus,752044697749.503,Aotus,Aotidae,Primates,912.4,3559.188,LC,Omnivore
Aotus vociferans,1016997305419.36,Aotus,Aotidae,Primates,872.99,3047.8376,LC,Omnivore
Aotus zonalis,154691812086.015,Aotus,Aotidae,Primates,902.5,3047.8376,DD,Omnivore
Apodemus agrarius,11531274744762.3,Apodemus,Muridae,Rodentia,21.11,504.40745,LC,Omnivore
Apodemus alpicola,110824156071.59,Apodemus,Muridae,Rodentia,28.055,554.1929125,LC,Omnivore
Apodemus argenteus,366528074753.249,Apodemus,Muridae,Rodentia,15,572.56,LC,Omnivore
Apodemus chevrieri,720401612572.801,Apodemus,Muridae,Rodentia,32.9,554.1929125,LC,Herbivore
Apodemus draco,1798566218735.1,Apodemus,Muridae,Rodentia,22.25,554.1929125,LC,Omnivore
Apodemus epimelas,174107586797.832,Apodemus,Muridae,Rodentia,63.85388804,554.1929125,LC,Omnivore
Apodemus flavicollis,6066721939673.64,Apodemus,Muridae,Rodentia,31.6,513.1567,LC,Herbivore
Apodemus gurkha,12707059532.599,Apodemus,Muridae,Rodentia,39.9,554.1929125,LC,Omnivore
Apodemus hyrcanicus,48562597874.764,Apodemus,Muridae,Rodentia,63.85388804,554.1929125,NT,Omnivore
Apodemus latronum,536889579054.212,Apodemus,Muridae,Rodentia,35.2,554.1929125,LC,Omnivore
Apodemus mystacinus,804373763156.529,Apodemus,Muridae,Rodentia,43.84,554.1929125,LC,Omnivore
Apodemus pallipes,783330335910.119,Apodemus,Muridae,Rodentia,63.85388804,554.1929125,LC,Omnivore
Apodemus peninsulae,8904772413030.56,Apodemus,Muridae,Rodentia,32.9,554.1929125,LC,Omnivore
Apodemus ponticus,347630589063.924,Apodemus,Muridae,Rodentia,26.7,554.1929125,LC,Omnivore
Apodemus rusiges,112755032336.439,Apodemus,Muridae,Rodentia,21.5,554.1929125,LC,Omnivore
Apodemus semotus,33914896749.0851,Apodemus,Muridae,Rodentia,25.77,554.1929125,LC,Omnivore
Apodemus speciosus,368742872132.316,Apodemus,Muridae,Rodentia,43.75,554.1929125,LC,Omnivore
Apodemus sylvaticus,5002127465487.76,Apodemus,Muridae,Rodentia,21.9,626.6475,LC,Omnivore
Apodemus uralensis,7246038995806.33,Apodemus,Muridae,Rodentia,18.26,554.1929125,LC,Omnivore
Apodemus witherbyi,1580976993694.15,Apodemus,Muridae,Rodentia,20.66,554.1929125,LC,Omnivore
Apomys abrae,12463642897.4061,Apomys,Muridae,Rodentia,34.88,624.3996409,LC,Omnivore
Apomys camiguinensis,73715536.7340254,Apomys,Muridae,Rodentia,32.69125,624.3996409,VU,Omnivore
Apomys datae,11591318419.9977,Apomys,Muridae,Rodentia,34.88,624.3996409,LC,Omnivore
Apomys gracilirostris,571340255.324826,Apomys,Muridae,Rodentia,32.69125,624.3996409,LC,Omnivore
Apomys hylocetes,4399293483.46999,Apomys,Muridae,Rodentia,34.88,624.3996409,LC,Omnivore
Apomys insignis,94959732182.7179,Apomys,Muridae,Rodentia,34.88,624.3996409,LC,Omnivore
Apomys littoralis,7898757638.78074,Apomys,Muridae,Rodentia,30.95,624.3996409,DD,Omnivore
Apomys microdon,61956393856.3566,Apomys,Muridae,Rodentia,34.98,624.3996409,LC,Omnivore
Apomys musculus,47774032004.5248,Apomys,Muridae,Rodentia,21.2,624.3996409,LC,Omnivore
Apomys sacobianus,951477061.058665,Apomys,Muridae,Rodentia,34.88,624.3996409,LC,Omnivore
Arabitragus jayakari,31556399414.0674,Arabitragus,Bovidae,Cetartiodactyla,23000,2137.805,EN,Herbivore
Arborimus albipes,77753368622.2442,Arborimus,Cricetidae,Rodentia,23,589.3882991,LC,Herbivore
Arborimus longicaudus,54110766640.3978,Arborimus,Cricetidae,Rodentia,22.39,589.3882991,NT,Herbivore
Arborimus pomo,22003977940.837,Arborimus,Cricetidae,Rodentia,32.49,589.3882991,NT,Herbivore
Archboldomys luzonensis,22211298.209695,Archboldomys,Muridae,Rodentia,35.34,624.3996409,VU,Insectivore
Arctictis binturong,2942897255244.19,Arctictis,Viverridae,Carnivora,12999.99,3650,VU,Omnivore
Arctocebus aureus,667483550640.2,Arctocebus,Lorisidae,Primates,234.16,1672.7732,LC,Omnivore
Arctocebus calabarensis,148437984481.801,Arctocebus,Lorisidae,Primates,258.01,1672.7732,LC,Omnivore
Arctogalidia trivirgata,2539703898423.33,Arctogalidia,Viverridae,Carnivora,2323.79,1825,LC,Omnivore
Arctonyx collaris,1373283894874.41,Arctonyx,Mustelidae,Carnivora,8166.52,1798.679445,VU,Omnivore
Ardops nichollsi,4742706970.77023,Ardops,Phyllostomidae,Chiroptera,19.23,2064.27635,LC,Herbivore
Arielulus aureocollaris,2503211916.05161,Arielulus,Vespertilionidae,Chiroptera,10.4,2051.666208,LC,Insectivore
Arielulus circumdatus,170230896246.138,Arielulus,Vespertilionidae,Chiroptera,10.4,2051.666208,LC,Insectivore
Arielulus cuprosus,2630004939.90607,Arielulus,Vespertilionidae,Chiroptera,10.4,2051.666208,VU,Insectivore
Arielulus societatis,12278049895.5463,Arielulus,Vespertilionidae,Chiroptera,10.4,2051.666208,VU,Insectivore
Arielulus torquatus,35902513602.4344,Arielulus,Vespertilionidae,Chiroptera,10.4,2051.666208,LC,Insectivore
Ariteus flavescens,11021007211.026,Ariteus,Phyllostomidae,Chiroptera,22.96761263,2064.27635,LC,Omnivore
Artibeus amplus,1641783092292.73,Artibeus,Phyllostomidae,Chiroptera,61.04,1920.4777,LC,Omnivore
Artibeus concolor,6437731245762.67,Artibeus,Phyllostomidae,Chiroptera,19.65,1920.4777,LC,Herbivore
Artibeus fimbriatus,1480430650677.85,Artibeus,Phyllostomidae,Chiroptera,63.89,1920.4777,LC,Omnivore
Artibeus fraterculus,302070729434.012,Artibeus,Phyllostomidae,Chiroptera,29.86285714,1920.4777,LC,Omnivore
Artibeus hirsutus,228810568763.086,Artibeus,Phyllostomidae,Chiroptera,40.42,1920.4777,LC,Omnivore
Artibeus inopinatus,41135941653.7857,Artibeus,Phyllostomidae,Chiroptera,29.86285714,1920.4777,DD,Omnivore
Artibeus jamaicensis,1559896275095.06,Artibeus,Phyllostomidae,Chiroptera,43.63,1920.4777,LC,Omnivore
